,chromosome,gene_add,start_add,end_add,strand_add,biotype_add,gene_remove,start_remove,end_remove,strand_remove,biotype_remove,ID_remove,ID_add,overlap,overlap_percentage_add,overlap_percentage_remove,synonym,overlapping_in_MANE,gene_add_protein_length,gene_remove_protein_length,gene_remove_in_MANE,action
130,chr17,CHCT1,61291426,61300355,+,protein_coding,C17orf64,61290151,61300355,+,protein_coding,C17orf64,CHCT1,8929,1.0,0.8750490003920032,True,False,236,279,False,RENAME C17orf64 to CHCT1
131,chr17,MTNAP1,74122159,74138687,+,protein_coding,C17orf80,74122159,74138687,+,protein_coding,C17orf80,MTNAP1,16528,1.0,1.0,True,False,609,609,False,RENAME C17orf80 to MTNAP1
132,chr17,NHERF1,75640506,75661228,+,protein_coding,SLC9A3R1,75640506,75661228,+,protein_coding,SLC9A3R1,NHERF1,20722,1.0,1.0,True,False,358,358,False,RENAME SLC9A3R1 to NHERF1
133,chr17,BLTP2,29557170,29587882,-,protein_coding,KIAA0100,29557164,29587883,-,protein_coding,KIAA0100,BLTP2,30712,1.0,0.9997721279989584,True,False,2235,2235,False,RENAME KIAA0100 to BLTP2
134,chr17,SPMAP1,39698166,39704496,-,protein_coding,C17orf98,39698166,39704496,-,protein_coding,C17orf98,SPMAP1,6330,1.0,1.0,True,False,154,154,False,RENAME C17orf98 to SPMAP1
135,chr17,IGBP1C,59528282,59559911,-,protein_coding,IGBP1P2,59528282,59559911,-,protein_coding,IGBP1P2,IGBP1C,31629,1.0,1.0,True,False,340,340,False,RENAME IGBP1P2 to IGBP1C
136,chr17,VCF1,74097093,74122120,-,protein_coding,FAM104A,74097081,74122120,-,protein_coding,FAM104A,VCF1,25027,1.0,0.9995207476336916,True,False,207,207,False,RENAME FAM104A to VCF1
137,chr18,ARK2N,46364660,46457614,+,protein_coding,C18orf25,46364179,46457614,+,protein_coding,C18orf25,ARK2N,92954,1.0,0.9948520361748808,True,False,403,403,False,RENAME C18orf25 to ARK2N
138,chr18,ARK2C,46524603,46653701,+,protein_coding,RNF165,46524603,46653701,+,protein_coding,RNF165,ARK2C,129098,1.0,1.0,True,False,346,346,False,RENAME RNF165 to ARK2C
139,chr19,SAXO5,7498219,7509163,+,protein_coding,TEX45,7498219,7509163,+,protein_coding,TEX45,SAXO5,10944,1.0,1.0,True,False,505,505,False,RENAME TEX45 to SAXO5
140,chr19,TEKTL1,15135627,15148213,+,protein_coding,CCDC105,15135627,15148213,+,protein_coding,CCDC105,TEKTL1,12586,1.0,1.0,True,False,499,499,False,RENAME CCDC105 to TEKTL1
141,chr19,RPSA2,23903473,23970913,+,protein_coding,RPSAP58,23898911,24016747,+,protein_coding,RPSAP58,RPSA2,67440,1.0,0.5723208527105469,True,False,295,295,False,RENAME RPSAP58 to RPSA2
142,chr19,SPMAP2,310606,324885,-,protein_coding,THEG,310606,324885,-,protein_coding,THEG,SPMAP2,14279,1.0,1.0,True,False,379,411,False,RENAME THEG to SPMAP2
143,chr19,CIMAP1D,414863,426225,-,protein_coding,ODF3L2,414863,444061,-,protein_coding,ODF3L2,CIMAP1D,11362,1.0,0.3891362422083704,True,False,289,289,False,RENAME ODF3L2 to CIMAP1D
144,chr19,ACTMAP,43561552,43571168,-,protein_coding,C19orf54,43561552,43571168,-,protein_coding,C19orf54,ACTMAP,9616,1.0,1.0,True,False,351,416,False,RENAME C19orf54 to ACTMAP
145,chr20,CIMIP1,59930302,59940549,+,protein_coding,C20orf85,59930302,59940549,+,protein_coding,C20orf85,CIMIP1,10247,1.0,1.0,True,False,137,137,False,RENAME C20orf85 to CIMIP1
146,chr20,ADISSP,3784462,3798692,-,protein_coding,C20orf27,3784462,3799327,-,protein_coding,C20orf27,ADISSP,14230,1.0,0.9572822065253952,True,False,174,199,False,RENAME C20orf27 to ADISSP
147,chr20,MTCL2,38501731,38587835,-,protein_coding,SOGA1,38501731,38587835,-,protein_coding,SOGA1,MTCL2,86104,1.0,1.0,True,False,1661,1661,False,RENAME SOGA1 to MTCL2
148,chr21,EPCIP,31156897,31179935,-,protein_coding,C21orf62,31156897,31179935,-,protein_coding,C21orf62,EPCIP,23038,1.0,1.0,True,False,219,219,False,RENAME C21orf62 to EPCIP
149,chr22,CIMIP4,37450704,37467442,-,protein_coding,TEX33,37450704,37467442,-,protein_coding,TEX33,CIMIP4,16738,1.0,1.0,True,False,280,280,False,RENAME TEX33 to CIMIP4
150,chr22,CIMAP1B,51040987,51043059,-,protein_coding,ODF3B,51040987,51043059,-,protein_coding,ODF3B,CIMAP1B,2072,1.0,1.0,True,False,253,272,False,RENAME ODF3B to CIMAP1B
151,chrX,GPRASP3,101165692,101198489,+,protein_coding,BHLHB9,101165692,101198489,+,protein_coding,BHLHB9,GPRASP3,32797,1.0,1.0,True,False,547,547,False,RENAME BHLHB9 to GPRASP3
152,chrX,CRIPTO3,108968800,108970925,+,protein_coding,TDGF1P3,108968800,108970925,+,protein_coding,TDGF1P3,CRIPTO3,2125,1.0,1.0,True,False,188,188,False,RENAME TDGF1P3 to CRIPTO3
153,chrX,VCF2,54436245,54454327,-,protein_coding,FAM104B,54436245,54454327,-,protein_coding,FAM104B,VCF2,18082,1.0,1.0,True,False,115,131,False,RENAME FAM104B to VCF2
154,chrX,GNG5B,108794364,108794883,-,protein_coding,GNG5P2,108794364,108794883,-,protein_coding,GNG5P2,GNG5B,519,1.0,1.0,True,False,68,68,False,RENAME GNG5P2 to GNG5B
155,chr1,PRAMEF13,12544302,12549523,+,protein_coding,PRAMEF28P,12546122,12548888,+,pseudogene,PRAMEF28P,PRAMEF13,2766,0.5297835663665964,1.0,False,False,474,0,False,REMOVE PRAMEF28P and ADD PRAMEF13 since PRAMEF28P not in MANE
156,chr1,C1orf202,244146000,244147314,-,protein_coding,LOC122455338,244146000,244147314,-,protein_coding,LOC122455338,C1orf202,1314,1.0,1.0,False,False,182,182,False,REMOVE LOC122455338 and ADD C1orf202 since LOC122455338 not in MANE
157,chr2,ZNF892,95713996,95730314,+,protein_coding,LOC344065,95712830,95770061,+,protein_coding,LOC344065,ZNF892,16318,1.0,0.285125194387657,False,False,522,522,False,REMOVE LOC344065 and ADD ZNF892 since LOC344065 not in MANE
158,chr2,RGPD6,110936277,111000128,-,protein_coding,RGPD5,110936277,111033776,-,protein_coding,RGPD5,RGPD6,63851,1.0,0.6548887680899291,False,False,1765,1794,True,"KEEP AS IS since both are in MANE, and RGPD5 has longer protein sequence"
159,chr2,RNF228,222799269,222805278,-,protein_coding,LOC122319436,222799269,222805278,-,protein_coding,LOC122319436,RNF228,6009,1.0,1.0,False,False,345,345,False,REMOVE LOC122319436 and ADD RNF228 since LOC122319436 not in MANE
160,chr3,UQCC5,52569505,52574786,+,protein_coding,LOC124909379,52567715,52619364,+,lncRNA,LOC124909379,UQCC5,5281,1.0,0.1022478653991364,False,False,70,0,False,ALREADY RESOLVED via synonym update
161,chr3,OR4F21,200993995,200994932,+,protein_coding,OR4F8BP,200993423,200995431,+,pseudogene,OR4F8BP,OR4F21_3,937,1.0,0.4666334661354581,False,False,312,0,False,REMOVE OR4F8BP and ADD OR4F21_3 since OR4F8BP not in MANE
162,chr3,LOC128031834,88133980,88134057,-,protein_coding,CGGBP1,88127798,88225703,-,protein_coding,CGGBP1,LOC128031834,77,1.0,0.0007864766865839,False,True,25,302,True,KEEP CGGBP1 and ADD LOC128031834 since overlapping in MANE
163,chr3,MUC20,198633304,198645342,-,protein_coding,MUC20P1,198640239,198641629,-,pseudogene,MUC20P1,MUC20,1390,0.1154676856620701,1.0,False,False,538,0,False,REMOVE MUC20P1 and ADD MUC20 since MUC20P1 not in MANE
164,chr4,MRFAP1L2,6649146,6651114,+,protein_coding,LOC93622,6649146,6651114,+,protein_coding,LOC93622,MRFAP1L2,1968,1.0,1.0,False,False,119,119,False,REMOVE LOC93622 and ADD MRFAP1L2 since LOC93622 not in MANE
165,chr4,SPMAP2L,60018614,60091522,+,protein_coding,GLDCP1,60080459,60084280,+,pseudogene,GLDCP1,SPMAP2L,3821,0.052408514840621,1.0,False,False,465,0,False,ALREADY RESOLVED via synonym update
166,chr4,UGT2B28,72743650,72758236,+,protein_coding,UGT2B24P,72743650,72758409,+,pseudogene,UGT2B24P,UGT2B28,14586,1.0,0.9882783386408294,False,False,529,0,False,REMOVE UGT2B24P and ADD UGT2B28 since UGT2B24P not in MANE
167,chr4,AFG2A,126227197,126623517,+,protein_coding,COILP2,126327741,126330096,+,pseudogene,COILP2,AFG2A,2355,0.0059421679450948,1.0,False,False,893,0,False,ALREADY RESOLVED via synonym update
168,chr4,LOC128125818,6038752,6043938,-,protein_coding,JAKMIP1,5997806,6174505,-,protein_coding,JAKMIP1,LOC128125818,5186,1.0,0.0293493454971448,False,True,45,839,True,KEEP JAKMIP1 and ADD LOC128125818 since overlapping in MANE
169,chr4,CFAP184,7012684,7014836,-,protein_coding,LOC100129931,7002390,7018066,-,lncRNA,LOC100129931,CFAP184,2152,1.0,0.1372799183465169,False,False,555,0,False,ALREADY RESOLVED via synonym update
170,chr4,SCPPPQ1,90789843,90800066,-,protein_coding,LOC105377321,90789843,90798963,-,lncRNA,LOC105377321,SCPPPQ1,9120,0.8921060354103492,1.0,False,False,79,0,False,REMOVE LOC105377321 and ADD SCPPPQ1 since LOC105377321 not in MANE
171,chr4,GK3,122698223,122700120,-,protein_coding,GK6P,122697975,122700174,-,pseudogene,GK6P,GK3_1,1897,1.0,0.8626648476580264,False,False,553,0,False,ALREADY RESOLVED via synonym update
172,chr4,SPMIP2,162243906,162386000,-,protein_coding,LOC124900178,162260143,162260212,-,pseudogene,LOC124900178,SPMIP2,69,0.0004855940433797,1.0,False,False,186,0,False,ALREADY RESOLVED via synonym update
173,chr5,ZNF475,122677032,122699514,+,protein_coding,LOC100505841,122677032,122699514,+,protein_coding,LOC100505841,ZNF475,22482,1.0,1.0,False,False,108,108,False,REMOVE LOC100505841 and ADD ZNF475 since LOC100505841 not in MANE
174,chr5,LOC131768270,141090259,141094531,+,protein_coding,SLC35A4,141090259,141094531,+,protein_coding,SLC35A4,LOC131768270,4272,1.0,1.0,False,True,103,324,True,KEEP SLC35A4 and ADD LOC131768270 since overlapping in MANE
175,chr5,ARB2A,94101790,94595720,-,protein_coding,MIR2277,94104761,94104853,-,miRNA,MIR2277,ARB2A,92,0.0001862612111027,1.0,False,False,416,0,False,ALREADY RESOLVED via synonym update
176,chr5,ARB2A,94101790,94595720,-,protein_coding,NPM1P27,94166588,94167802,-,pseudogene,NPM1P27,ARB2A,1214,0.0024578381552041,1.0,False,False,416,0,False,ALREADY RESOLVED via synonym update
177,chr5,ARB2A,94101790,94595720,-,protein_coding,POU5F2,94217284,94225664,-,protein_coding,POU5F2,ARB2A,8380,0.0169659668374061,1.0,False,True,416,328,True,ALREADY RESOLVED via synonym update
178,chr6,BLTP3A,34614874,34700320,+,protein_coding,RNY3P15,34696649,34696732,+,pseudogene,RNY3P15,BLTP3A,83,0.0009713737331179,1.0,False,False,1440,0,False,ALREADY RESOLVED via synonym update
179,chr6,CIMIP3,41983624,41991617,+,protein_coding,LOC118142757,41983624,42008260,+,protein_coding,LOC118142757,CIMIP3,7993,1.0,0.324443903231044,False,False,112,201,False,ALREADY RESOLVED via synonym update
180,chr6,LOC128031835,52905207,52905278,+,protein_coding,FBXO9,52897406,52940463,+,protein_coding,FBXO9,LOC128031835,71,1.0,0.0016489769375479,False,True,23,447,True,KEEP FBXO9 and ADD LOC128031835 since overlapping in MANE
181,chr6,LOC128125822,64718414,64729529,+,protein_coding,PTP4A1,64662355,64729529,+,protein_coding,PTP4A1,LOC128125822,11115,1.0,0.1654658052222586,False,True,44,200,True,KEEP PTP4A1 and ADD LOC128125822 since overlapping in MANE
182,chr6,ZC3H11C,66455264,66460362,+,protein_coding,LOC441155,66455264,66460362,+,protein_coding,LOC441155,ZC3H11C,5098,1.0,1.0,False,False,805,805,False,REMOVE LOC441155 and ADD ZC3H11C since LOC441155 not in MANE
183,chr6,LOC127898563,69813457,69813534,+,protein_coding,ADGRB3,69812849,70568164,+,protein_coding,ADGRB3,LOC127898563,77,1.0,0.0001019442219471,False,True,25,1522,True,KEEP ADGRB3 and ADD LOC127898563 since overlapping in MANE
184,chr6,LOC128092253,135141328,135168099,+,protein_coding,TBPL1,135140198,135178439,+,protein_coding,TBPL1,LOC128092253,26771,1.0,0.7000601448706886,False,True,42,186,True,KEEP TBPL1 and ADD LOC128092253 since overlapping in MANE
185,chr6,OR4F21,172013163,172014100,+,protein_coding,OR4F7P,172013163,172014100,+,pseudogene,OR4F7P,OR4F21_1,937,1.0,1.0,False,False,312,0,False,REMOVE OR4F7P and ADD OR4F21_1 since OR4F7P not in MANE
186,chr6,LOC127903862,16200900,16200989,-,protein_coding,ATXN1,16171667,16634155,-,protein_coding,ATXN1,LOC127903862,89,1.0,0.0001924374254034,False,True,29,816,True,KEEP ATXN1 and ADD LOC127903862 since overlapping in MANE
187,chr6,LOC128092246,52880850,52880969,-,protein_coding,CILK1,52840881,52901428,-,protein_coding,CILK1,LOC128092246,119,1.0,0.0019654152972071,False,True,39,639,True,KEEP CILK1 and ADD LOC128092246 since overlapping in MANE
188,chr6,MTCL3,128661901,128708261,-,protein_coding,SOGA3-KIAA0408,128627332,128708261,-,lncRNA,SOGA3-KIAA0408,MTCL3,46360,1.0,0.5728478048659936,False,False,947,0,False,ALREADY RESOLVED via synonym update
189,chr7,C7orf78,12635463,12672302,+,protein_coding,LOC102725191,12614225,12673220,+,protein_coding,LOC102725191,C7orf78,36839,1.0,0.6244427493855411,False,False,256,348,False,REMOVE LOC102725191 and ADD C7orf78 since LOC102725191 not in MANE
190,chr7,LOC128031837,113768818,113768976,+,protein_coding,IFRD1,113741458,113795506,+,protein_coding,IFRD1,LOC128031837,158,1.0,0.0029233274126702,False,True,52,451,True,KEEP IFRD1 and ADD LOC128031837 since overlapping in MANE
191,chr7,TCAF2,144983304,145010763,+,protein_coding,TCAF2P1,145000037,145005436,+,transcribed_pseudogene,TCAF2P1,TCAF2,5399,0.1966204158927856,1.0,False,False,919,0,False,REMOVE TCAF2P1 and ADD TCAF2 since TCAF2P1 not in MANE
192,chr7,LOC128092247,152235017,152235067,+,protein_coding,SLC4A2,152231288,152249645,+,protein_coding,SLC4A2,LOC128092247,50,1.0,0.0027237566051097,False,True,16,1241,True,KEEP SLC4A2 and ADD LOC128092247 since overlapping in MANE
193,chr7,SMIM10L3,6448805,6468359,-,protein_coding,FAM220A,6448805,6468359,-,protein_coding,FAM220A,SMIM10L3,19554,1.0,1.0,False,True,68,259,True,ALREADY RESOLVED via synonym update
194,chr7,UPK3BL2,44142846,44148608,-,protein_coding,POLR2J4,44099196,44177577,-,transcribed_pseudogene,POLR2J4,UPK3BL2,5762,1.0,0.0735127135402712,False,False,264,0,False,REMOVE POLR2J4 and ADD UPK3BL2 since POLR2J4 not in MANE
195,chr8,FAM90A5,7002916,7005926,+,protein_coding,FAM90A4P,7001256,7006488,+,pseudogene,FAM90A4P,FAM90A5,3010,1.0,0.5753058103975535,False,False,464,0,False,REMOVE FAM90A4P and ADD FAM90A5 since FAM90A4P not in MANE
196,chr8,FAM90A20,7010562,7013572,+,protein_coding,FAM90A14,7010562,7013572,+,protein_coding,FAM90A14_6,FAM90A20,3010,1.0,1.0,False,False,464,464,True,"KEEP AS IS since both are in MANE, and FAM90A14_6 has longer protein sequence"
197,chr8,FAM90A11,7016372,7019382,+,protein_coding,FAM90A3P,7014712,7019944,+,pseudogene,FAM90A3P,FAM90A11,3010,1.0,0.5753058103975535,False,False,464,0,False,REMOVE FAM90A3P and ADD FAM90A11 since FAM90A3P not in MANE
198,chr8,FAM90A3,7023994,7027004,+,protein_coding,FAM90A11P,7022334,7027564,+,pseudogene,FAM90A11P,FAM90A3,3010,1.0,0.5755258126195029,False,False,464,0,False,REMOVE FAM90A11P and ADD FAM90A3 since FAM90A11P not in MANE
199,chr8,FAM90A13,11708430,11711440,+,protein_coding,FAM90A14,11708430,11711440,+,protein_coding,FAM90A14_1,FAM90A13_7,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
200,chr8,FAM90A13,11716078,11719088,+,protein_coding,FAM90A14,11716078,11719088,+,protein_coding,FAM90A14_2,FAM90A13_9,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
201,chr8,FAM90A13,11723726,11726736,+,protein_coding,FAM90A8,11723726,11726736,+,protein_coding,FAM90A8,FAM90A13_8,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
202,chr8,FAM90A13,11731374,11734384,+,protein_coding,FAM90A17,11731374,11734384,+,protein_coding,FAM90A17,FAM90A13_4,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
203,chr8,FAM90A13,11739022,11742032,+,protein_coding,FAM90A14,11739022,11742032,+,protein_coding,FAM90A14,FAM90A13,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
204,chr8,FAM90A13,11754318,11757328,+,protein_coding,FAM90A14,11754318,11757328,+,protein_coding,FAM90A14_4,FAM90A13_6,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
205,chr8,FAM90A13,11761966,11764976,+,protein_coding,FAM90A14,11761966,11764976,+,protein_coding,FAM90A14_10,FAM90A13_12,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
206,chr8,FAM90A12,11784915,11787925,+,protein_coding,FAM90A24P,11783255,11788487,+,pseudogene,FAM90A24P_2,FAM90A12_8,3010,1.0,0.5753058103975535,False,False,464,0,False,ALREADY RESOLVED via synonym update
207,chr8,FAM90A13,11792558,11795568,+,protein_coding,FAM90A15P,11790903,11796130,+,pseudogene,FAM90A15P,FAM90A13_2,3010,1.0,0.5758561316242586,False,False,464,0,False,ALREADY RESOLVED via synonym update
208,chr8,FAM90A15,11807854,11810864,+,protein_coding,FAM90A14,11807854,11810864,+,protein_coding,FAM90A14_8,FAM90A15,3010,1.0,1.0,False,False,464,464,True,"KEEP AS IS since both are in MANE, and FAM90A14_8 has longer protein sequence"
209,chr8,FAM90A13,11815502,11818512,+,protein_coding,FAM90A5P,11813841,11819074,+,pseudogene,FAM90A5P,FAM90A13_1,3010,1.0,0.5751958723485572,False,False,464,0,False,ALREADY RESOLVED via synonym update
210,chr8,FAM90A13,11823150,11826160,+,protein_coding,FAM90A14,11823150,11826160,+,protein_coding,FAM90A14_3,FAM90A13_5,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
211,chr8,FAM90A13,11830798,11833808,+,protein_coding,FAM90A14,11830798,11833808,+,protein_coding,FAM90A14_12,FAM90A13_15,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
212,chr8,FAM90A12,11846099,11849109,+,protein_coding,FAM90A14,11846099,11849109,+,protein_coding,FAM90A14_11,FAM90A12_1,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
213,chr8,FAM90A12,11853747,11856757,+,protein_coding,FAM90A24P,11852087,11857319,+,pseudogene,FAM90A24P_3,FAM90A12_7,3010,1.0,0.5753058103975535,False,False,464,0,False,ALREADY RESOLVED via synonym update
214,chr8,FAM90A12,11869043,11872053,+,protein_coding,FAM90A24P,11867378,11872615,+,pseudogene,FAM90A24P_4,FAM90A12_6,3010,1.0,0.5747565400038189,False,False,464,0,False,ALREADY RESOLVED via synonym update
215,chr8,FAM90A13,11884338,11887348,+,protein_coding,FAM90A16,11884338,11887348,+,protein_coding,FAM90A16_1,FAM90A13_16,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
216,chr8,FAM90A13,11891986,11894996,+,protein_coding,FAM90A14,11891986,11894996,+,protein_coding,FAM90A14_5,FAM90A13_10,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
217,chr8,FAM90A13,11899634,11902644,+,protein_coding,FAM90A14,11899634,11902644,+,protein_coding,FAM90A14_9,FAM90A13_11,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
218,chr8,FAM90A24,12386661,12389671,+,protein_coding,FAM90A23,12386661,12389671,+,protein_coding,FAM90A23_4,FAM90A24_5,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
219,chr8,FAM90A24,12417245,12420255,+,protein_coding,FAM90A23,12417245,12420255,+,protein_coding,FAM90A23_1,FAM90A24_4,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
220,chr8,FAM90A24,12424895,12427905,+,protein_coding,FAM90A22,12424895,12427905,+,protein_coding,FAM90A22,FAM90A24_1,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
221,chr8,FAM90A24,12432541,12435551,+,protein_coding,FAM90A23,12432541,12435551,+,protein_coding,FAM90A23_3,FAM90A24_2,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
222,chr8,FAM90A24,12447832,12450842,+,protein_coding,FAM90A23,12447832,12450842,+,protein_coding,FAM90A23_2,FAM90A24_6,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
223,chr8,LOC128092250,32928519,32928707,+,protein_coding,NRG1,31920455,33055399,+,protein_coding,NRG1,LOC128092250,188,1.0,0.0001656469394084,False,True,62,860,True,KEEP NRG1 and ADD LOC128092250 since overlapping in MANE
224,chr8,C8orf90,142643223,142647643,+,protein_coding,LOC122455339,142643223,142647643,+,protein_coding,LOC122455339,C8orf90,4420,1.0,1.0,False,False,192,192,False,REMOVE LOC122455339 and ADD C8orf90 since LOC122455339 not in MANE
225,chr8,FAM90A13,7329821,7332831,-,protein_coding,FAM90A16,7329821,7332831,-,protein_coding,FAM90A16_3,FAM90A13_14,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
226,chr8,FAM90A13,7337472,7340482,-,protein_coding,FAM90A16,7337472,7340482,-,protein_coding,FAM90A16_2,FAM90A13_13,3010,1.0,1.0,False,False,464,464,True,ALREADY RESOLVED via synonym update
227,chr8,ZFTRAF1,145619341,145632631,-,protein_coding,LOC84773-CYHR1,145619690,145635248,-,protein_coding,LOC84773-CYHR1,ZFTRAF1,12941,0.973739653875094,0.8317907186013627,False,False,404,362,False,ALREADY RESOLVED via synonym update
228,chr8,ZFTRAF1,145619341,145632631,-,protein_coding,MIR10400,145632245,145632299,-,miRNA,MIR10400,ZFTRAF1,54,0.0040632054176072,1.0,False,False,404,0,False,ALREADY RESOLVED via synonym update
229,chr8,TMEM276,145633585,145635248,-,protein_coding,LOC84773-CYHR1,145619690,145635248,-,protein_coding,LOC84773-CYHR1,TMEM276,1663,1.0,0.1068903458028024,False,False,192,362,False,REMOVE LOC84773-CYHR1 and ADD TMEM276 since LOC84773-CYHR1 not in MANE
230,chr8,TMEM276,145633585,145635248,-,protein_coding,LOC84773,145633585,145635457,-,protein_coding,LOC84773,TMEM276,1663,1.0,0.8883547008547008,False,False,192,192,False,"REMOVE LOC84773, TMEM276 already added"
231,chr9,ZNG1C,80416505,80473721,+,protein_coding,LOC124902173,80459730,80466105,+,lncRNA,LOC124902173,ZNG1C_1,6375,0.1114198825503355,1.0,False,False,395,0,False,ALREADY RESOLVED via synonym update
232,chr9,LOC128092248,142918582,142918680,+,protein_coding,ABL1,142917999,143092548,+,protein_coding,ABL1,LOC128092248,98,1.0,0.0005614469289425,False,True,32,1149,True,KEEP ABL1 and ADD LOC128092248 since overlapping in MANE
233,chr9,ZNG1A,114953,173385,-,protein_coding,LOC105375942,122723,129299,-,lncRNA,LOC105375942,ZNG1A,6576,0.1125410733844468,1.0,False,False,395,0,False,ALREADY RESOLVED via synonym update
234,chr9,SPATA31F1,34851154,34857592,-,protein_coding,FAM205BP,34849306,34857624,-,transcribed_pseudogene,FAM205BP,SPATA31F1_1,6438,1.0,0.7739841308006732,False,False,1335,0,False,ALREADY RESOLVED via synonym update
235,chr9,CNTNAP3,39078097,39301584,-,protein_coding,LOC101930090,39113307,39163376,-,pseudogene,LOC101930090,CNTNAP3,50069,0.2240354025066335,1.0,False,False,1288,0,False,REMOVE LOC101930090 and ADD CNTNAP3 since LOC101930090 not in MANE
236,chr9,CNTNAP3,39078097,39301584,-,protein_coding,CNTNAP3C,39170905,39302008,-,protein_coding,CNTNAP3C,CNTNAP3,130679,0.5847275233011316,0.9967659016193374,False,False,1288,514,False,"REMOVE CNTNAP3C, CNTNAP3 already added"
237,chr9,CNTNAP3,39078097,39301584,-,protein_coding,LOC100420438,39274724,39275266,-,pseudogene,LOC100420438,CNTNAP3,542,0.0024251969913238,1.0,False,False,1288,0,False,"REMOVE LOC100420438, CNTNAP3 already added"
238,chr9,ZNG1C,80061576,80119701,-,protein_coding,CBWD4P,80061395,80095397,-,pseudogene,CBWD4P,ZNG1C,33821,0.5818666666666666,0.9946767837186048,False,False,395,0,False,ALREADY RESOLVED via synonym update
239,chr10,MSANTD7,14852271,14860964,+,protein_coding,HSPA14,14852271,14885706,+,protein_coding,HSPA14,MSANTD7,8693,1.0,0.2599970091221774,False,True,361,509,True,KEEP HSPA14 and ADD MSANTD7 since overlapping in MANE
240,chr10,MSANTD7,14852271,14860964,+,protein_coding,LOC100421372,14852271,14860964,+,protein_coding,LOC100421372,MSANTD7,8693,1.0,1.0,False,False,361,361,False,"REMOVE LOC100421372, MSANTD7 already added"
241,chr10,SPADH,123547893,123554537,+,protein_coding,LOC112577516,123547893,123554537,+,protein_coding,LOC112577516,SPADH,6644,1.0,1.0,False,False,137,137,False,REMOVE LOC112577516 and ADD SPADH since LOC112577516 not in MANE
242,chr10,DUSP13A,75979167,75982656,-,protein_coding,DUSP13,75967932,75982690,-,protein_coding,DUSP13,DUSP13A,3489,1.0,0.2364141482585716,False,False,188,417,False,"ADD DUSP13A, DUSP13 already removed"
243,chr11,SSU72L4,4343683,4344784,+,protein_coding,SSU72P6,4343775,4344369,+,pseudogene,SSU72P6,SSU72L4_1,594,0.5395095367847411,1.0,False,False,194,0,False,ALREADY RESOLVED via synonym update
244,chr11,BMAL1,13370517,13480010,+,protein_coding,RN7SKP151,13445972,13446287,+,pseudogene,RN7SKP151,BMAL1,315,0.0028768962399422,1.0,False,False,626,0,False,ALREADY RESOLVED via synonym update
245,chr11,TOP6BL,66741018,66839790,+,protein_coding,RCE1,66839715,66842826,+,protein_coding,RCE1,TOP6BL,75,0.0007593245049204,0.0241080038572806,False,True,511,329,True,ALREADY RESOLVED via synonym update
246,chr11,DEFB130A,71783189,71790566,+,protein_coding,DEFB130C,71783189,71790566,+,pseudogene,DEFB130C,DEFB130A,7377,1.0,1.0,False,False,78,0,False,REMOVE DEFB130C and ADD DEFB130A since DEFB130C not in MANE
247,chr11,OR4F16,113128,114065,-,protein_coding,OR4F2P,113128,114065,-,pseudogene,OR4F2P,OR4F16,937,1.0,1.0,False,False,312,0,False,REMOVE OR4F2P and ADD OR4F16 since OR4F2P not in MANE
248,chr11,DRC12,119210624,119216213,-,protein_coding,SNORD150,119210937,119211011,-,snoRNA,SNORD150,DRC12,74,0.0132402934335301,1.0,False,False,210,0,False,ALREADY RESOLVED via synonym update
249,chr12,BMAL2,27204471,27296954,+,protein_coding,SMCO2,27294986,27373856,+,protein_coding,SMCO2,BMAL2,1968,0.0212795865186034,0.0249524534043362,False,True,636,343,True,ALREADY RESOLVED via synonym update
250,chr12,TMT1A,50888286,50895782,+,protein_coding,HIGD1C,50894384,50935936,+,protein_coding,HIGD1C,TMT1A,1398,0.1864994663820704,0.0336445899114362,False,True,244,158,True,ALREADY RESOLVED via synonym update
251,chr12,ABTB3,107282040,107623123,+,protein_coding,LOC124900324,107338371,107338453,+,snoRNA,LOC124900324,ABTB3,82,0.0002404106918257,1.0,False,False,1104,0,False,ALREADY RESOLVED via synonym update
