,seq_id,source,type,start,end,score,strand,phase,attributes,Dbxref,ID,Name,Note,Parent,alignment_id,alternative_source_transcripts,anticodon,collapsed_gene_ids,collapsed_gene_names,copy_num_ID,coverage,db_xref,description,exception,exon_annotation_support,exon_number,experiment,extra_copy_number,extra_paralog,frameshift,gbkey,gene,gene_biotype,gene_id,gene_name,gene_synonym,inference,inframe_stop_codon,intron_annotation_support,matches_ref_protein,missing_start_codon,missing_stop_codon,model_evidence,note,paralogy,part,partial,product,proper_orf,protein_id,pseudo,sequence_ID,source_gene,source_gene_common_name,source_transcript,standard_name,tag,transcript_biotype,transcript_class,transcript_id,transcript_modes,transcript_name,transferase,transl_except,unfiltered_paralogy,valid_ORF,valid_ORFs,valid_start,valid_stop
1878846,chr9,Liftoff,exon,173145,173385,.,-,.,Parent=NM_001399796.1;db_xref=GeneID:55871;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 4;transcript_biotype=mRNA;exon_number=1;extra_copy_number=0,,,,,NM_001399796.1,,,,,,,,GeneID:55871,,,,1,,0,,,,CBWD1,,,,,,,,,,,,,,,,COBW domain containing 1%2C transcript variant 4,,,,,,,,,,mRNA,,,,,,,,,,,
1878847,chr9,Liftoff,CDS,167592,167692,.,-,2,Parent=NM_001399796.1;db_xref=GeneID:55871;gbkey=CDS;gene=CBWD1;note=isoform 4 is encoded by transcript variant 4;product=COBW domain-containing protein 1 isoform 4;protein_id=NP_001386725.1;exon_number=3;extra_copy_number=0,,,,,NM_001399796.1,,,,,,,,GeneID:55871,,,,3,,0,,,CDS,CBWD1,,,,,,,,,,,,isoform 4 is encoded by transcript variant 4,,,,COBW domain-containing protein 1 isoform 4,,NP_001386725.1,,,,,,,,,,,,,,,,,,,
1878848,chr9,Liftoff,CDS,170024,170110,.,-,2,Parent=NM_001399796.1;db_xref=GeneID:55871;gbkey=CDS;gene=CBWD1;note=isoform 4 is encoded by transcript variant 4;product=COBW domain-containing protein 1 isoform 4;protein_id=NP_001386725.1;exon_number=2;extra_copy_number=0,,,,,NM_001399796.1,,,,,,,,GeneID:55871,,,,2,,0,,,CDS,CBWD1,,,,,,,,,,,,isoform 4 is encoded by transcript variant 4,,,,COBW domain-containing protein 1 isoform 4,,NP_001386725.1,,,,,,,,,,,,,,,,,,,
1878849,chr9,Liftoff,CDS,173145,173298,.,-,0,Parent=NM_001399796.1;db_xref=GeneID:55871;gbkey=CDS;gene=CBWD1;note=isoform 4 is encoded by transcript variant 4;product=COBW domain-containing protein 1 isoform 4;protein_id=NP_001386725.1;exon_number=1;extra_copy_number=0,,,,,NM_001399796.1,,,,,,,,GeneID:55871,,,,1,,0,,,CDS,CBWD1,,,,,,,,,,,,isoform 4 is encoded by transcript variant 4,,,,COBW domain-containing protein 1 isoform 4,,NP_001386725.1,,,,,,,,,,,,,,,,,,,
1878850,chr9,Liftoff,transcript,166815,173385,.,-,.,ID=NM_001399797.1;Parent=CBWD1;db_xref=GeneID:55871;gbkey=mRNA;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 5;transcript_biotype=mRNA;matches_ref_protein=True;valid_ORF=True;extra_copy_number=0,,NM_001399797.1,,,CBWD1,,,,,,,,GeneID:55871,,,,,,0,,,mRNA,CBWD1,,,,,,,,True,,,,,,,,COBW domain containing 1%2C transcript variant 5,,,,,,,,,,mRNA,,,,,,,,True,,,
1878851,chr9,Liftoff,exon,166815,167692,.,-,.,Parent=NM_001399797.1;db_xref=GeneID:55871;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 5;transcript_biotype=mRNA;exon_number=4;extra_copy_number=0,,,,,NM_001399797.1,,,,,,,,GeneID:55871,,,,4,,0,,,,CBWD1,,,,,,,,,,,,,,,,COBW domain containing 1%2C transcript variant 5,,,,,,,,,,mRNA,,,,,,,,,,,
1878852,chr9,Liftoff,exon,170024,170110,.,-,.,Parent=NM_001399797.1;db_xref=GeneID:55871;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 5;transcript_biotype=mRNA;exon_number=3;extra_copy_number=0,,,,,NM_001399797.1,,,,,,,,GeneID:55871,,,,3,,0,,,,CBWD1,,,,,,,,,,,,,,,,COBW domain containing 1%2C transcript variant 5,,,,,,,,,,mRNA,,,,,,,,,,,
1878853,chr9,Liftoff,exon,172049,172146,.,-,.,Parent=NM_001399797.1;db_xref=GeneID:55871;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 5;transcript_biotype=mRNA;exon_number=2;extra_copy_number=0,,,,,NM_001399797.1,,,,,,,,GeneID:55871,,,,2,,0,,,,CBWD1,,,,,,,,,,,,,,,,COBW domain containing 1%2C transcript variant 5,,,,,,,,,,mRNA,,,,,,,,,,,
1878854,chr9,Liftoff,exon,173145,173385,.,-,.,Parent=NM_001399797.1;db_xref=GeneID:55871;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 5;transcript_biotype=mRNA;exon_number=1;extra_copy_number=0,,,,,NM_001399797.1,,,,,,,,GeneID:55871,,,,1,,0,,,,CBWD1,,,,,,,,,,,,,,,,COBW domain containing 1%2C transcript variant 5,,,,,,,,,,mRNA,,,,,,,,,,,
1878855,chr9,Liftoff,CDS,167592,167692,.,-,2,Parent=NM_001399797.1;db_xref=GeneID:55871;gbkey=CDS;gene=CBWD1;note=isoform 5 is encoded by transcript variant 5;product=COBW domain-containing protein 1 isoform 5;protein_id=NP_001386726.1;exon_number=4;extra_copy_number=0,,,,,NM_001399797.1,,,,,,,,GeneID:55871,,,,4,,0,,,CDS,CBWD1,,,,,,,,,,,,isoform 5 is encoded by transcript variant 5,,,,COBW domain-containing protein 1 isoform 5,,NP_001386726.1,,,,,,,,,,,,,,,,,,,
1878856,chr9,Liftoff,CDS,170024,170110,.,-,2,Parent=NM_001399797.1;db_xref=GeneID:55871;gbkey=CDS;gene=CBWD1;note=isoform 5 is encoded by transcript variant 5;product=COBW domain-containing protein 1 isoform 5;protein_id=NP_001386726.1;exon_number=3;extra_copy_number=0,,,,,NM_001399797.1,,,,,,,,GeneID:55871,,,,3,,0,,,CDS,CBWD1,,,,,,,,,,,,isoform 5 is encoded by transcript variant 5,,,,COBW domain-containing protein 1 isoform 5,,NP_001386726.1,,,,,,,,,,,,,,,,,,,
1878857,chr9,Liftoff,CDS,172049,172094,.,-,0,Parent=NM_001399797.1;db_xref=GeneID:55871;gbkey=CDS;gene=CBWD1;note=isoform 5 is encoded by transcript variant 5;product=COBW domain-containing protein 1 isoform 5;protein_id=NP_001386726.1;exon_number=2;extra_copy_number=0,,,,,NM_001399797.1,,,,,,,,GeneID:55871,,,,2,,0,,,CDS,CBWD1,,,,,,,,,,,,isoform 5 is encoded by transcript variant 5,,,,COBW domain-containing protein 1 isoform 5,,NP_001386726.1,,,,,,,,,,,,,,,,,,,
1878858,chr9,Liftoff,transcript,166815,173385,.,-,.,ID=NR_174354.1;Parent=CBWD1;db_xref=GeneID:55871;gbkey=misc_RNA;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 15;transcript_biotype=transcript;extra_copy_number=0,,NR_174354.1,,,CBWD1,,,,,,,,GeneID:55871,,,,,,0,,,misc_RNA,CBWD1,,,,,,,,,,,,,,,,COBW domain containing 1%2C transcript variant 15,,,,,,,,,,transcript,,,,,,,,,,,
1878859,chr9,Liftoff,exon,166815,167688,.,-,.,Parent=NR_174354.1;db_xref=GeneID:55871;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 15;transcript_biotype=transcript;exon_number=4;extra_copy_number=0,,,,,NR_174354.1,,,,,,,,GeneID:55871,,,,4,,0,,,,CBWD1,,,,,,,,,,,,,,,,COBW domain containing 1%2C transcript variant 15,,,,,,,,,,transcript,,,,,,,,,,,
1878860,chr9,Liftoff,exon,170024,170110,.,-,.,Parent=NR_174354.1;db_xref=GeneID:55871;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 15;transcript_biotype=transcript;exon_number=3;extra_copy_number=0,,,,,NR_174354.1,,,,,,,,GeneID:55871,,,,3,,0,,,,CBWD1,,,,,,,,,,,,,,,,COBW domain containing 1%2C transcript variant 15,,,,,,,,,,transcript,,,,,,,,,,,
1878861,chr9,Liftoff,exon,172049,172146,.,-,.,Parent=NR_174354.1;db_xref=GeneID:55871;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 15;transcript_biotype=transcript;exon_number=2;extra_copy_number=0,,,,,NR_174354.1,,,,,,,,GeneID:55871,,,,2,,0,,,,CBWD1,,,,,,,,,,,,,,,,COBW domain containing 1%2C transcript variant 15,,,,,,,,,,transcript,,,,,,,,,,,
1878862,chr9,Liftoff,exon,173145,173385,.,-,.,Parent=NR_174354.1;db_xref=GeneID:55871;gene=CBWD1;product=COBW domain containing 1%2C transcript variant 15;transcript_biotype=transcript;exon_number=1;extra_copy_number=0,,,,,NR_174354.1,,,,,,,,GeneID:55871,,,,1,,0,,,,CBWD1,,,,,,,,,,,,,,,,COBW domain containing 1%2C transcript variant 15,,,,,,,,,,transcript,,,,,,,,,,,
1927619,chr9,Liftoff,gene,39113307,39163376,.,-,.,ID=LOC101930090;gene_name=LOC101930090;db_xref=GeneID:101930090;description=contactin associated protein family member 3B pseudogene;gbkey=Gene;gene=LOC101930090;gene_biotype=pseudogene;pseudo=true;coverage=0.993;sequence_ID=0.973;extra_copy_number=0;copy_num_ID=LOC101930090_0,,LOC101930090,,,,,,,,,LOC101930090_0,0.993,GeneID:101930090,contactin associated protein family member 3B pseudogene,,,,,0,,,Gene,LOC101930090,pseudogene,,LOC101930090,,,,,,,,,,,,,,,,true,0.973,,,,,,,,,,,,,,,,,
1932004,chr9,Liftoff,gene,80459730,80466105,.,+,.,ID=LOC124902173;gene_name=LOC124902173;db_xref=GeneID:124902173;gbkey=Gene;gene=LOC124902173;gene_biotype=lncRNA;coverage=0.999;sequence_ID=0.997;extra_copy_number=0;copy_num_ID=LOC124902173_0,,LOC124902173,,,,,,,,,LOC124902173_0,0.999,GeneID:124902173,,,,,,0,,,Gene,LOC124902173,lncRNA,,LOC124902173,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,,,,,,
1932005,chr9,Liftoff,transcript,80459730,80466105,.,+,.,ID=XR_007061560.1;Parent=LOC124902173;db_xref=GeneID:124902173;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC124902173;model_evidence=Supporting evidence includes similarity to: 34 long SRA reads%2C and 90%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 12 samples with support for all annotated introns;product=uncharacterized LOC124902173;transcript_biotype=lnc_RNA;extra_copy_number=0,,XR_007061560.1,,,LOC124902173,,,,,,,,GeneID:124902173,,,,,COORDINATES: polyA evidence [ECO:0006239],0,,,ncRNA,LOC124902173,,,,,,,,,,,Supporting evidence includes similarity to: 34 long SRA reads%2C and 90%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 12 samples with support for all annotated introns,,,,,uncharacterized LOC124902173,,,,,,,,,,lnc_RNA,,,,,,,,,,,
1932006,chr9,Liftoff,exon,80459730,80462630,.,+,.,Parent=XR_007061560.1;db_xref=GeneID:124902173;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=LOC124902173;model_evidence=Supporting evidence includes similarity to: 34 long SRA reads%2C and 90%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 12 samples with support for all annotated introns;product=uncharacterized LOC124902173;transcript_biotype=lnc_RNA;exon_number=1;extra_copy_number=0,,,,,XR_007061560.1,,,,,,,,GeneID:124902173,,,,1,COORDINATES: polyA evidence [ECO:0006239],0,,,,LOC124902173,,,,,,,,,,,Supporting evidence includes similarity to: 34 long SRA reads%2C and 90%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 12 samples with support for all annotated introns,,,,,uncharacterized LOC124902173,,,,,,,,,,lnc_RNA,,,,,,,,,,,
1932007,chr9,Liftoff,exon,80462713,80466105,.,+,.,Parent=XR_007061560.1;db_xref=GeneID:124902173;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=LOC124902173;model_evidence=Supporting evidence includes similarity to: 34 long SRA reads%2C and 90%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 12 samples with support for all annotated introns;product=uncharacterized LOC124902173;transcript_biotype=lnc_RNA;exon_number=2;extra_copy_number=0,,,,,XR_007061560.1,,,,,,,,GeneID:124902173,,,,2,COORDINATES: polyA evidence [ECO:0006239],0,,,,LOC124902173,,,,,,,,,,,Supporting evidence includes similarity to: 34 long SRA reads%2C and 90%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 12 samples with support for all annotated introns,,,,,uncharacterized LOC124902173,,,,,,,,,,lnc_RNA,,,,,,,,,,,
2906089,chr15,Liftoff,gene,27012052,27013520,.,-,.,ID=LOC100420707;gene_name=LOC100420707;db_xref=GeneID:100420707;description=DDB1 and CUL4 associated factor 6 pseudogene;gbkey=Gene;gene=LOC100420707;gene_biotype=pseudogene;pseudo=true;coverage=1.0;sequence_ID=0.997;extra_copy_number=0;copy_num_ID=LOC100420707_0,,LOC100420707,,,,,,,,,LOC100420707_0,1.0,GeneID:100420707,DDB1 and CUL4 associated factor 6 pseudogene,,,,,0,,,Gene,LOC100420707,pseudogene,,LOC100420707,,,,,,,,,,,,,,,,true,0.997,,,,,,,,,,,,,,,,,
3765249,chr21,Liftoff,gene,32838670,32838797,.,-,.,ID=LOC124900475;gene_name=LOC124900475;db_xref=GeneID:124900475;gbkey=Gene;gene=LOC124900475;gene_biotype=snoRNA;coverage=1.0;sequence_ID=0.992;extra_copy_number=0;copy_num_ID=LOC124900475_0,,LOC124900475,,,,,,,,,LOC124900475_0,1.0,GeneID:124900475,,,,,,0,,,Gene,LOC124900475,snoRNA,,LOC124900475,,,,,,,,,,,,,,,,,0.992,,,,,,,,,,,,,,,,,
3765250,chr21,Liftoff,transcript,32838670,32838797,.,-,.,ID=XR_007067948.1;Parent=LOC124900475;db_xref=RFAM:RF00614;gbkey=ncRNA;gene=LOC124900475;inference=COORDINATES: profile:INFERNAL:1.1.1;product=small nucleolar RNA SNORA11;transcript_biotype=snoRNA;extra_copy_number=0,,XR_007067948.1,,,LOC124900475,,,,,,,,RFAM:RF00614,,,,,,0,,,ncRNA,LOC124900475,,,,,COORDINATES: profile:INFERNAL:1.1.1,,,,,,,,,,,small nucleolar RNA SNORA11,,,,,,,,,,snoRNA,,,,,,,,,,,
3765251,chr21,Liftoff,exon,32838670,32838797,.,-,.,Parent=XR_007067948.1;db_xref=RFAM:RF00614;gene=LOC124900475;inference=COORDINATES: profile:INFERNAL:1.1.1;product=small nucleolar RNA SNORA11;transcript_biotype=snoRNA;exon_number=1;extra_copy_number=0,,,,,XR_007067948.1,,,,,,,,RFAM:RF00614,,,,1,,0,,,,LOC124900475,,,,,COORDINATES: profile:INFERNAL:1.1.1,,,,,,,,,,,small nucleolar RNA SNORA11,,,,,,,,,,snoRNA,,,,,,,,,,,
3765252,chr21,Liftoff,gene,32866580,32869585,.,-,.,ID=LOC105379505;gene_name=LOC105379505;db_xref=GeneID:105379505;gbkey=Gene;gene=LOC105379505;gene_biotype=lncRNA;coverage=1.0;sequence_ID=0.997;extra_copy_number=0;copy_num_ID=LOC105379505_0,,LOC105379505,,,,,,,,,LOC105379505_0,1.0,GeneID:105379505,,,,,,0,,,Gene,LOC105379505,lncRNA,,LOC105379505,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,,,,,,
3765253,chr21,Liftoff,transcript,32866580,32869585,.,-,.,ID=XR_951148.2;Parent=LOC105379505;db_xref=GeneID:105379505;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC105379505;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns;product=uncharacterized LOC105379505;transcript_biotype=lnc_RNA;extra_copy_number=0,,XR_951148.2,,,LOC105379505,,,,,,,,GeneID:105379505,,,,,COORDINATES: polyA evidence [ECO:0006239],0,,,ncRNA,LOC105379505,,,,,,,,,,,Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns,,,,,uncharacterized LOC105379505,,,,,,,,,,lnc_RNA,,,,,,,,,,,
3765254,chr21,Liftoff,exon,32866580,32866841,.,-,.,Parent=XR_951148.2;db_xref=GeneID:105379505;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=LOC105379505;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns;product=uncharacterized LOC105379505;transcript_biotype=lnc_RNA;exon_number=2;extra_copy_number=0,,,,,XR_951148.2,,,,,,,,GeneID:105379505,,,,2,COORDINATES: polyA evidence [ECO:0006239],0,,,,LOC105379505,,,,,,,,,,,Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns,,,,,uncharacterized LOC105379505,,,,,,,,,,lnc_RNA,,,,,,,,,,,
3765255,chr21,Liftoff,exon,32869363,32869585,.,-,.,Parent=XR_951148.2;db_xref=GeneID:105379505;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=LOC105379505;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns;product=uncharacterized LOC105379505;transcript_biotype=lnc_RNA;exon_number=1;extra_copy_number=0,,,,,XR_951148.2,,,,,,,,GeneID:105379505,,,,1,COORDINATES: polyA evidence [ECO:0006239],0,,,,LOC105379505,,,,,,,,,,,Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns,,,,,uncharacterized LOC105379505,,,,,,,,,,lnc_RNA,,,,,,,,,,,
3778280,chr21,Liftoff,gene,41484016,41498641,.,-,.,ID=LOC102724594;gene_name=LOC102724594;db_xref=GeneID:102724594;description=U2 small nuclear RNA auxiliary factor 1 like 5;gbkey=Gene;gene=LOC102724594;gene_biotype=protein_coding;gene_synonym=U2AF1L5;coverage=1.0;sequence_ID=1.0;valid_ORFs=9;extra_copy_number=0;copy_num_ID=LOC102724594_0,,LOC102724594,,,,,,,,,LOC102724594_0,1.0,GeneID:102724594,U2 small nuclear RNA auxiliary factor 1 like 5,,,,,0,,,Gene,LOC102724594,protein_coding,,LOC102724594,U2AF1L5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,9,,
3778281,chr21,Liftoff,transcript,41484016,41498641,.,-,.,ID=NM_001320646.2;Parent=LOC102724594;db_xref=GeneID:102724594;gbkey=mRNA;gene=LOC102724594;product=U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1;tag=RefSeq Select;transcript_biotype=mRNA;matches_ref_protein=True;valid_ORF=True;extra_copy_number=0,,NM_001320646.2,,,LOC102724594,,,,,,,,GeneID:102724594,,,,,,0,,,mRNA,LOC102724594,,,,,,,,True,,,,,,,,U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1,,,,,,,,,RefSeq Select,mRNA,,,,,,,,True,,,
3778282,chr21,Liftoff,exon,41484016,41484309,.,-,.,Parent=NM_001320646.2;db_xref=GeneID:102724594;gene=LOC102724594;product=U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1;tag=RefSeq Select;transcript_biotype=mRNA;exon_number=8;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,8,,0,,,,LOC102724594,,,,,,,,,,,,,,,,U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1,,,,,,,,,RefSeq Select,mRNA,,,,,,,,,,,
3778283,chr21,Liftoff,exon,41485531,41485623,.,-,.,Parent=NM_001320646.2;db_xref=GeneID:102724594;gene=LOC102724594;product=U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1;tag=RefSeq Select;transcript_biotype=mRNA;exon_number=7;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,7,,0,,,,LOC102724594,,,,,,,,,,,,,,,,U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1,,,,,,,,,RefSeq Select,mRNA,,,,,,,,,,,
3778284,chr21,Liftoff,exon,41485715,41485848,.,-,.,Parent=NM_001320646.2;db_xref=GeneID:102724594;gene=LOC102724594;product=U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1;tag=RefSeq Select;transcript_biotype=mRNA;exon_number=6;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,6,,0,,,,LOC102724594,,,,,,,,,,,,,,,,U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1,,,,,,,,,RefSeq Select,mRNA,,,,,,,,,,,
3778285,chr21,Liftoff,exon,41486500,41486598,.,-,.,Parent=NM_001320646.2;db_xref=GeneID:102724594;gene=LOC102724594;product=U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1;tag=RefSeq Select;transcript_biotype=mRNA;exon_number=5;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,5,,0,,,,LOC102724594,,,,,,,,,,,,,,,,U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1,,,,,,,,,RefSeq Select,mRNA,,,,,,,,,,,
3778286,chr21,Liftoff,exon,41486756,41486805,.,-,.,Parent=NM_001320646.2;db_xref=GeneID:102724594;gene=LOC102724594;product=U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1;tag=RefSeq Select;transcript_biotype=mRNA;exon_number=4;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,4,,0,,,,LOC102724594,,,,,,,,,,,,,,,,U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1,,,,,,,,,RefSeq Select,mRNA,,,,,,,,,,,
3778287,chr21,Liftoff,exon,41491524,41491590,.,-,.,Parent=NM_001320646.2;db_xref=GeneID:102724594;gene=LOC102724594;product=U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1;tag=RefSeq Select;transcript_biotype=mRNA;exon_number=3;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,3,,0,,,,LOC102724594,,,,,,,,,,,,,,,,U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1,,,,,,,,,RefSeq Select,mRNA,,,,,,,,,,,
3778288,chr21,Liftoff,exon,41495386,41495473,.,-,.,Parent=NM_001320646.2;db_xref=GeneID:102724594;gene=LOC102724594;product=U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1;tag=RefSeq Select;transcript_biotype=mRNA;exon_number=2;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,2,,0,,,,LOC102724594,,,,,,,,,,,,,,,,U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1,,,,,,,,,RefSeq Select,mRNA,,,,,,,,,,,
3778289,chr21,Liftoff,exon,41498522,41498641,.,-,.,Parent=NM_001320646.2;db_xref=GeneID:102724594;gene=LOC102724594;product=U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1;tag=RefSeq Select;transcript_biotype=mRNA;exon_number=1;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,1,,0,,,,LOC102724594,,,,,,,,,,,,,,,,U2 small nuclear RNA auxiliary factor 1 like 5%2C transcript variant 1,,,,,,,,,RefSeq Select,mRNA,,,,,,,,,,,
3778290,chr21,Liftoff,CDS,41484162,41484309,.,-,1,Parent=NM_001320646.2;db_xref=GeneID:102724594;gbkey=CDS;gene=LOC102724594;note=isoform 1 is encoded by transcript variant 1;product=splicing factor U2AF 35 kDa subunit-like protein isoform 1;protein_id=NP_001307575.1;tag=RefSeq Select;exon_number=8;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,8,,0,,,CDS,LOC102724594,,,,,,,,,,,,isoform 1 is encoded by transcript variant 1,,,,splicing factor U2AF 35 kDa subunit-like protein isoform 1,,NP_001307575.1,,,,,,,RefSeq Select,,,,,,,,,,,,
3778291,chr21,Liftoff,CDS,41485531,41485623,.,-,1,Parent=NM_001320646.2;db_xref=GeneID:102724594;gbkey=CDS;gene=LOC102724594;note=isoform 1 is encoded by transcript variant 1;product=splicing factor U2AF 35 kDa subunit-like protein isoform 1;protein_id=NP_001307575.1;tag=RefSeq Select;exon_number=7;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,7,,0,,,CDS,LOC102724594,,,,,,,,,,,,isoform 1 is encoded by transcript variant 1,,,,splicing factor U2AF 35 kDa subunit-like protein isoform 1,,NP_001307575.1,,,,,,,RefSeq Select,,,,,,,,,,,,
3778292,chr21,Liftoff,CDS,41485715,41485848,.,-,0,Parent=NM_001320646.2;db_xref=GeneID:102724594;gbkey=CDS;gene=LOC102724594;note=isoform 1 is encoded by transcript variant 1;product=splicing factor U2AF 35 kDa subunit-like protein isoform 1;protein_id=NP_001307575.1;tag=RefSeq Select;exon_number=6;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,6,,0,,,CDS,LOC102724594,,,,,,,,,,,,isoform 1 is encoded by transcript variant 1,,,,splicing factor U2AF 35 kDa subunit-like protein isoform 1,,NP_001307575.1,,,,,,,RefSeq Select,,,,,,,,,,,,
3778293,chr21,Liftoff,CDS,41486500,41486598,.,-,0,Parent=NM_001320646.2;db_xref=GeneID:102724594;gbkey=CDS;gene=LOC102724594;note=isoform 1 is encoded by transcript variant 1;product=splicing factor U2AF 35 kDa subunit-like protein isoform 1;protein_id=NP_001307575.1;tag=RefSeq Select;exon_number=5;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,5,,0,,,CDS,LOC102724594,,,,,,,,,,,,isoform 1 is encoded by transcript variant 1,,,,splicing factor U2AF 35 kDa subunit-like protein isoform 1,,NP_001307575.1,,,,,,,RefSeq Select,,,,,,,,,,,,
3778294,chr21,Liftoff,CDS,41486756,41486805,.,-,2,Parent=NM_001320646.2;db_xref=GeneID:102724594;gbkey=CDS;gene=LOC102724594;note=isoform 1 is encoded by transcript variant 1;product=splicing factor U2AF 35 kDa subunit-like protein isoform 1;protein_id=NP_001307575.1;tag=RefSeq Select;exon_number=4;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,4,,0,,,CDS,LOC102724594,,,,,,,,,,,,isoform 1 is encoded by transcript variant 1,,,,splicing factor U2AF 35 kDa subunit-like protein isoform 1,,NP_001307575.1,,,,,,,RefSeq Select,,,,,,,,,,,,
3778295,chr21,Liftoff,CDS,41491524,41491590,.,-,0,Parent=NM_001320646.2;db_xref=GeneID:102724594;gbkey=CDS;gene=LOC102724594;note=isoform 1 is encoded by transcript variant 1;product=splicing factor U2AF 35 kDa subunit-like protein isoform 1;protein_id=NP_001307575.1;tag=RefSeq Select;exon_number=3;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,3,,0,,,CDS,LOC102724594,,,,,,,,,,,,isoform 1 is encoded by transcript variant 1,,,,splicing factor U2AF 35 kDa subunit-like protein isoform 1,,NP_001307575.1,,,,,,,RefSeq Select,,,,,,,,,,,,
3778296,chr21,Liftoff,CDS,41495386,41495473,.,-,1,Parent=NM_001320646.2;db_xref=GeneID:102724594;gbkey=CDS;gene=LOC102724594;note=isoform 1 is encoded by transcript variant 1;product=splicing factor U2AF 35 kDa subunit-like protein isoform 1;protein_id=NP_001307575.1;tag=RefSeq Select;exon_number=2;extra_copy_number=0,,,,,NM_001320646.2,,,,,,,,GeneID:102724594,,,,2,,0,,,CDS,LOC102724594,,,,,,,,,,,,isoform 1 is encoded by transcript variant 1,,,,splicing factor U2AF 35 kDa subunit-like protein isoform 1,,NP_001307575.1,,,,,,,RefSeq Select,,,,,,,,,,,,
